Affiliate_id,Affiliate_name,City,State,Country,Latitude,Longitude
16873,CrossFit North AX,Mariehamn,Aland,Åland Islands,60.1111,19.9113
2452,CrossFit Strife,APO,AE,Afghanistan,,
3225,No Kidding CrossFit,APO,AE,Afghanistan,,
4175,CrossFit Sabalu Harrison,APO,AE,Afghanistan,,
6996,Castle CrossFit,APO,AE,Afghanistan,,
14418,CrossFit 1394,APO,AE,Afghanistan,,
2432,Coalition CrossFit,Kabul,Afghanistan,Afghanistan,,
4007,CrossFit Pasab,Kandahar,Afghanistan,Afghanistan,,
1373,CrossFit Jangyali,Jalalabad,APO,Afghanistan,,
158,CrossFit Herat,Camp Stone,APO AE,Afghanistan,,
2482,CrossFit Mountain Warrior,FOB Fenty/Jalalabad,APO AE,Afghanistan,,
5136,The CrossFit Barn,Sharan,APO AE,Afghanistan,,
4237,CrossFit Shank,FOB SHANK,APO AE 09364,Afghanistan,,
3257,Yak CrossFit,COP Deh Yak,"APO, AE",Afghanistan,,
20302,CrossFit Bamyan,Bamyan,Bamyan,Afghanistan,34.8296,67.8356
6593,CrossFit Belleau Wood,Camp Leatherneck,Helmand Province,Afghanistan,,
3664,Loose Cannon CrossFit,Kabul,Kabul,Afghanistan,,
9614,CrossFit Danger Zone,Kabul,Kabul Province,Afghanistan,,
2062,Kandahar CrossFit,Kandahar Airfield,Kandahar,Afghanistan,,
4789,Vulture CrossFit,Bagram AF,Parwan,Afghanistan,,
3634,CrossFit Tarin Kowt,Tarin Kowt,Uruzgan,Afghanistan,,
6869,CrossFit 1775,"FPO, AE",USA,Afghanistan,,
322,CrossFit Leatherneck (LNK),Helmand,,Afghanistan,,
21071,Azul CrossFit,Cheraga,,Algeria,36.7579,2.9464
18437,La Borda CrossFit,Andorra la Vell,Andorra,Andorra,42.4986,1.5051
11062,CrossFit Les Valls,Andorra la Vella,Andorra la vella,Andorra,42.5063,1.5218
16586,Ultimate Burn CrossFit,Luanda,Angola,Angola,-8.8058,13.2414
17621,CrossFit Maculusso,Luanda,Ingobota,Angola,-8.8251,13.2356
16680,Super Set CrossFit,Luanda,Luanda,Angola,-8.8285,13.2445
19904,CrossFit Talatona,Luanda,Luanda,Angola,-8.914,13.1891
13547,Navajo CrossFit,Buenos Aires,Argentina,Argentina,-34.5532,-58.4542
20577,Ranzoia CrossFit,FORMOSA,argentina,Argentina,-26.1781,-58.1719
11581,CrossFit Alo,Avellaneda,Buenos Aires,Argentina,-34.6658,-58.3634
13657,CrossFit Mega,Bahia Blanca,Buenos Aires,Argentina,-38.7097,-62.2695
7863,CrossFit Devoto,Buenos Aires,Buenos Aires,Argentina,-34.6089,-58.5099
10723,CrossFit El Galpon,Buenos Aires,Buenos Aires,Argentina,-34.6376,-58.3646
11196,BIGG CrossFit Belgrano,Buenos Aires,Buenos Aires,Argentina,-34.5666,-58.4513
12378,Before CrossFit,Buenos Aires,Buenos Aires,Argentina,-34.6275,-58.4303
12601,CrossFit Inner Animal,Buenos Aires,Buenos Aires,Argentina,-34.6005,-58.3696
15622,BIGG CrossFit Downtown,Buenos Aires,Buenos Aires,Argentina,-34.6046,-58.3762
17372,Cluster CrossFit,Buenos Aires,Buenos Aires,Argentina,-34.603,-58.4917
17627,CrossFit 4 L,buenos aires,buenos aires,Argentina,-34.6689,-58.3803
20340,BIGG CrossFit Urquiza,Buenos Aires,Buenos Aires,Argentina,-34.5788,-58.4794
